iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_VmaxC(1)	M_lnVmax_AG(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_VmaxC(1)	Var_lnVmax_AG(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_VmaxC(1.1)	lnVmax_AG(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_VmaxC(1.2)	lnVmax_AG(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_VmaxC(1.3)	lnVmax_AG(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_VmaxC(1.4)	lnVmax_AG(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_VmaxC(1.5)	lnVmax_AG(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_VmaxC(1.6)	lnVmax_AG(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_VmaxC(1.7)	lnVmax_AG(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_VmaxC(1.8)	lnVmax_AG(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.20173	6.12021	10.8286	0.707624	13.949	7.25323	0.189876	6.23822	-5.55848	-5.4499	-0.477864	0.102571	0.14089	0.181955	0.0739338	0.197313	0.0383983	0.362556	0.226572	0.196056	0.109403	0.128875	0.0411305	0.103013	0.010424	-1.318	4.95102	10.6943	0.613703	14.2975	7.16409	0.502298	5.58922	-5.27678	-5.16806	-0.343018	-0.547775	  5.8	10.5358	0.553726	13.8921	7.29758	0.100487	5.45668	-5.47444	-5.43544	-0.216431	-1.14475	6.08707	10.5199	1.05995	13.4816	7.29829	0.534786	5.77145	-5.96326	-5.75171	-0.578638	-1.19225	6.2142	10.889	0.224427	14.2843	7.58184	0.854963	5.74797	-5.97521	-5.32729	-0.401439	-1.54388	6.55611	11.0786	0.561244	13.9406	7.24288	0.47747	5.77206	-5.77086	-5.58807	-0.358186	-1.12257	5.99355	10.9438	1.09241	13.1618	7.18192	0.246139	6.56274	-5.41348	-5.90893	-0.357837	-0.765132	6.09642	11.1658	1.19903	14.1762	7.56371	0.331795	6.92173	-4.5455	-5.04408	-0.63263	-1.64855	5.91603	11.0472	0.506305	13.9921	7.46362	1.61554	5.77039	-5.2982	-4.85098	-0.63714	-2.838448e+01	-6.008934e+04	-6.011773e+04
160	-1.03981	7.98368	8.20048	7.82293	12.7495	11.6479	9.02215	6.99028	-5.6995	-3.18622	-1.1043	0.132524	0.0767554	0.0818568	0.0730088	0.153316	0.755217	0.12707	0.123076	0.328788	0.120217	0.154481	0.12941	0.196703	0.0157957	-0.818351	7.99206	7.76606	8.03697	12.7396	11.4332	8.33507	7.41091	-5.94561	-2.91072	-1.68475	-1.35952	7.99641	8.2211	7.71395	12.4296	12.2676	9.00897	6.95568	-5.13093	-2.76417	-1.16538	-0.99486	7.61182	7.9954	7.86005	12.3611	13.1476	8.81009	6.89293	-4.9537	-3.54787	-0.731905	-0.614194	7.57295	8.08872	7.36463	13.406	10.1442	8.64143	6.93537	-5.65257	-3.15395	-0.793388	-1.00207	7.8919	8.05667	8.17002	12.1409	13.3851	9.42625	7.5003	-5.18007	-2.81954	-1.18512	-1.17147	7.54558	7.94899	7.84796	13.0315	12.5348	9.65632	7.12657	-5.52298	-3.01422	-1.08045	-1.5313	7.75273	8.26788	7.34208	11.9492	11.7189	8.8172	7.29076	-5.24353	-3.20755	-0.895645	-0.87304	7.33829	8.34847	7.70975	12.7035	10.9982	8.64923	7.66247	-5.2633	-2.62731	-1.07856	-3.639950e+01	-1.882679e+01	-5.522629e+01
320	-1.09107	7.65399	7.44156	8.16346	11.0626	12.0404	10.7605	7.04403	-5.37175	-2.66658	-1.18478	0.074167	0.0670126	0.0383428	0.098449	0.319698	1.09232	0.160005	0.195021	0.33749	0.155936	0.112848	0.0936299	0.0776151	0.0218839	-0.896036	7.68701	7.53316	8.20568	10.9645	11.0128	10.8608	6.33776	-5.27442	-2.74061	-1.702	-1.1461	7.68765	7.67522	8.35966	11.6232	12.3867	11.2936	6.85767	-5.59108	-2.45784	-1.4721	-1.37672	7.62629	7.13321	8.25516	11.3079	12.7155	11.3391	7.29637	-4.22497	-2.64071	-1.36289	-0.574509	7.46104	7.76591	7.83965	10.4466	10.034	10.7947	6.89356	-5.99056	-2.51756	-0.919012	-1.4554	7.21163	7.15369	8.23314	11.4951	12.3258	11.64	7.38552	-5.30059	-2.368	-1.32852	-1.40715	7.4229	7.35422	8.2861	11.5095	12.1881	10.6776	7.24851	-5.05914	-2.48997	-1.32787	-0.929205	7.51834	7.43675	7.99789	11.6998	12.239	10.2188	7.18651	-4.68369	-2.26726	-1.25244	-0.514004	7.38488	7.45951	8.33981	11.0665	11.8116	10.2449	7.23412	-5.24217	-2.15845	-1.63553	-4.091015e+01	2.814489e+01	-1.276526e+01
480	-1.32257	7.69558	7.41091	8.34269	10.9279	12.8125	10.8257	7.28834	-4.91119	-2.29223	-1.57934	0.54277	0.0841682	0.0676221	0.0555898	0.157266	1.33495	0.124855	0.0795136	0.119979	0.0808439	0.121071	0.0792276	0.0537236	0.013664	-0.566236	7.64172	7.20638	8.54535	10.6639	13.5443	10.8297	7.13606	-5.29262	-2.17172	-2.06073	-1.18092	7.71852	7.21441	8.65807	10.817	12.6448	11.4733	7.58211	-4.81635	-1.99474	-1.8532	-2.07014	7.66071	7.01403	8.32119	11.3395	12.2156	11.5238	7.50166	-5.15495	-2.19242	-1.35541	-0.533259	7.80901	7.71533	7.85056	10.8004	9.98702	10.4469	7.52328	-4.54711	-2.73906	-1.04121	-1.71918	7.36531	7.01428	8.34525	11.6185	12.8457	11.0512	7.40468	-4.33669	-2.38639	-1.51423	-1.04917	7.99683	7.46833	8.40832	10.968	12.9879	10.7903	7.39852	-4.94855	-2.20459	-1.63071	-1.11689	7.65682	7.31339	8.15569	10.9024	11.947	10.8158	7.44029	-4.95404	-2.00443	-1.34868	-0.46284	7.39849	7.56421	8.3827	11.0275	14.298	10.8308	7.13174	-4.9956	-2.19273	-1.72056	-2.893905e+01	4.046789e+01	1.152884e+01
640	-0.81378	7.91718	7.32446	8.39328	10.6908	12.0951	10.2263	7.12647	-5.13895	-1.83125	-1.70191	0.0469219	0.199364	0.0603475	0.0724177	0.183692	0.331298	0.325532	0.246318	0.129922	0.0579384	0.098244	0.0836449	0.0426715	0.0109044	-0.62286	7.69916	7.3901	8.61925	10.7234	11.7696	10.1995	8.32121	-4.74548	-2.28556	-2.05966	-0.877773	7.63468	7.14516	8.66211	11.0632	12.8414	9.92236	7.7135	-5.31669	-1.99542	-1.80599	-1.16283	7.79099	7.32765	8.59812	10.9948	12.3815	10.2056	7.33561	-5.42504	-2.17815	-1.33336	-0.470576	7.94404	7.19916	8.50457	9.7114	11.2001	10.1015	6.17686	-4.11546	-1.77492	-1.82512	-1.1972	7.62494	7.16128	8.63261	10.9588	12.7723	10.6565	8.12461	-5.1206	-2.0313	-1.74036	-1.06571	7.95453	7.40748	8.71039	10.8974	12.9164	10.6131	7.46771	-5.01246	-1.76272	-1.80297	-1.02213	7.75595	7.42011	8.27697	10.9524	12.6457	10.8715	7.24979	-4.97177	-1.86357	-1.43878	-0.985893	7.84416	7.71952	8.36422	10.4909	12.6769	9.863	7.08287	-5.11571	-2.31148	-1.8078	-3.012720e+01	6.074618e+01	3.061898e+01
800	-0.990999	7.49793	7.04099	8.79759	10.7304	12.7625	12.4799	7.20264	-5.65469	-1.94934	-1.80085	0.19957	0.0897085	0.0865562	0.157921	0.246644	0.251556	0.158251	0.428415	0.570093	0.0518698	0.0740335	0.0630115	0.0340717	0.0187381	-0.875909	7.47405	6.91055	8.61574	10.4302	12.2825	11.7722	7.19401	-5.49114	-2.16102	-2.20929	-0.794088	7.49578	7.04652	8.89759	10.6771	12.7952	12.4891	7.88393	-5.75141	-1.98526	-1.9439	-1.30491	7.09154	6.4339	8.60655	10.9938	12.4744	12.3534	8.51764	-5.40876	-2.06143	-1.52148	-0.499728	7.52189	6.92427	8.82673	9.36199	11.8489	12.5796	5.82995	-5.02552	-1.79083	-1.94703	-1.50279	7.40269	6.9003	8.60967	10.6986	12.9515	12.4858	7.39157	-5.96363	-2.00779	-1.66115	-0.960308	7.47944	7.0608	8.673	11.1101	13.2497	12.4255	7.65805	-5.22942	-1.81141	-1.68576	-1.6346	7.29212	6.5245	8.7593	9.88271	12.8698	12.637	7.2929	-5.37655	-1.58519	-1.93127	-0.535325	7.19271	6.83287	8.56112	10.4924	12.5542	12.3365	7.10816	-5.3396	-2.07338	-1.94429	-3.062463e+01	6.763040e+01	3.700577e+01
960	-1.38567	7.85351	7.04955	8.62589	10.7946	12.2181	11.8284	7.67498	-5.33602	-2.03263	-1.71177	0.370935	0.104425	0.0725673	0.0521243	0.367626	0.123273	0.0939621	0.576711	0.0837165	0.119761	0.0622846	0.0720175	0.0313847	0.0134467	-0.900001	7.67515	7.17533	8.46798	10.3627	11.9058	11.3466	7.53088	-5.26516	-2.29222	-2.12441	-1.57413	7.67511	6.89553	8.84716	10.4365	12.2103	12.0548	8.23563	-5.3646	-2.03807	-2.07747	-1.2096	7.40513	6.81591	8.5053	11.2715	12.8177	12.2227	7.44031	-5.04499	-1.95329	-1.39661	-0.464685	7.16175	7.15778	8.65016	9.63654	11.5361	12.4873	5.76259	-5.2626	-1.71786	-1.7359	-1.51185	7.34646	6.76911	8.80799	10.6684	12.443	12.0739	8.87438	-5.71219	-1.85247	-1.79438	-1.46798	7.70667	6.97413	8.50966	11.0909	12.6888	12.3047	8.00498	-5.38283	-1.87283	-1.77973	-1.24334	7.66214	6.85531	8.40876	10.6919	12.5983	11.8142	7.88181	-5.20538	-1.77364	-1.69378	-1.28389	7.55818	7.53271	8.54053	9.97342	12.6902	11.9178	6.98533	-5.9335	-2.0616	-1.95821	-3.230103e+01	6.909198e+01	3.679095e+01
1120	-1.22672	7.68163	6.95629	8.62229	10.2286	12.9597	12.6203	7.29411	-5.81025	-1.92233	-2.07235	0.143927	0.0754207	0.0663047	0.089412	0.115278	0.695625	0.117337	0.316078	0.409294	0.0609425	0.183222	0.0738427	0.0407599	0.0164297	-0.793023	7.67769	7.2784	8.80176	10.6485	12.169	12.7896	7.44996	-5.88612	-2.19123	-2.19921	-2.17293	7.5893	6.88373	8.89177	10.0423	13.0701	12.3704	7.36353	-5.58502	-1.92392	-2.11055	-1.32057	7.90022	7.04744	8.81346	10.7699	14.2504	12.9888	7.824	-5.87839	-1.83498	-1.72372	-0.519079	7.40269	7.05608	8.80981	9.67364	11.4074	12.2677	5.71135	-4.48912	-1.86624	-1.94542	-1.42916	7.22753	6.74064	8.91551	10.5382	12.9249	12.6695	8.09393	-5.89946	-1.82538	-1.92571	-1.31774	7.64311	6.91355	8.55397	10.8316	12.9207	12.5341	7.71531	-5.18369	-1.74919	-1.803	-0.862008	7.6747	6.78892	8.57113	10.5237	12.5987	12.6656	7.67753	-5.53387	-1.59849	-1.94073	-0.704387	7.74826	6.56906	8.77786	10.0259	13.9687	12.5174	7.14954	-5.44298	-1.87816	-2.43424	-3.156272e+01	5.851145e+01	2.694873e+01
1280	-1.00976	7.79446	6.88968	8.87862	10.6543	12.9143	11.3104	8.2544	-5.86769	-1.86004	-2.1378	0.292011	0.101596	0.0736693	0.120698	0.267202	0.57936	0.143603	1.42308	0.100953	0.0738766	0.0916365	0.0552683	0.0304631	0.0189507	-0.769965	7.45495	6.88542	8.69981	10.4352	12.0668	11.1425	7.86078	-5.67757	-2.16918	-2.2297	-1.06565	7.5049	6.73977	8.91826	10.5447	12.6158	11.4276	9.65141	-5.49235	-1.98491	-2.0053	-1.44382	7.44327	6.81805	8.8368	10.5698	12.7424	11.6258	7.84514	-5.79124	-1.97099	-1.58695	-0.484352	7.91542	6.65699	8.97965	9.60383	11.3474	11.4441	6.78805	-5.85731	-1.5952	-2.42066	-1.31416	7.51678	6.65802	8.8625	10.9417	13.7026	11.6774	10.5457	-5.70945	-1.7576	-1.96047	-2.09133	7.73693	7.00729	8.6852	10.6775	13.0011	11.3923	7.68344	-5.74354	-1.82608	-1.8868	-1.31258	7.60136	6.65332	8.67661	10.3752	12.2422	10.9877	8.10279	-5.76747	-1.67541	-1.98929	-0.62437	7.34933	7.33975	8.57004	10.2096	13.8576	11.1329	7.1079	-5.85401	-2.12893	-1.8943	-3.353013e+01	6.281542e+01	2.928528e+01
1440	-0.666016	7.56996	7.02734	8.73871	10.5027	11.9898	10.3763	6.68081	-5.96856	-1.90666	-1.96716	0.132542	0.0919625	0.164578	0.0369264	0.23702	0.612125	0.132608	0.882867	0.234975	0.194966	0.0679547	0.0808783	0.033048	0.0198055	-0.570957	7.93269	7.43848	8.62075	10.4735	12.6034	10.1145	8.81011	-5.74632	-2.26959	-2.12211	-1.26338	7.83085	7.42225	8.74158	10.5981	13.2452	10.3958	7.14315	-5.81696	-2.09608	-1.85227	-1.27916	7.54961	6.78939	8.62634	10.9594	12.8015	10.5869	8.7384	-4.78631	-2.16356	-1.55549	-0.564328	7.64883	7.10592	8.80756	9.51891	11.2239	10.1208	5.9247	-5.97504	-1.62075	-1.8476	-0.830562	7.38307	6.8082	8.88094	11.0763	14.5669	10.3388	8.27717	-5.50568	-1.75467	-1.869	-0.835079	7.45204	6.66319	8.80147	10.7873	12.4388	10.8312	8.43262	-5.98872	-1.76626	-2.02747	-0.983019	7.08206	6.57059	8.52317	10.614	13.505	10.5526	7.10401	-5.39619	-1.68953	-1.6341	-0.590472	7.60631	7.06429	8.67345	10.4879	12.5066	10.2082	7.13848	-5.20391	-1.99877	-2.1158	-4.643197e+01	6.817489e+01	2.174293e+01
