iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	LnPrior	LnData	LnPosterior
0	-1.4358	5.46679	1.12665	7.85372	5.604	10.2374	8.50135	10.138	8.25847	11.4761	10.5006	-1.11785	-5.73385	-5.89015	0.376889	0.151067	0.154011	0.363838	0.188312	0.189662	0.378186	0.202596	0.32768	0.227466	0.124127	0.188674	0.300167	0.092487	0.204891	0.0219673	0.0107307	-2.00314	5.33392	0.678815	7.92208	5.56666	9.80935	8.41962	9.91846	8.25533	11.9515	10.7259	-0.823491	-5.91664	-5.88883	-1.50368	5.3866	0.561439	8.0308	5.33095	10.1445	8.41631	10.1401	8.67236	11.7592	10.7764	-1.39214	-5.91068	-5.37352	-1.34244	5.15257	1.23307	8.46635	6.43013	10.0223	9.59721	9.74173	7.18751	11.5224	10.5471	-1.0229	-5.98707	-5.50989	-1.29678	5.61201	1.54335	8.41894	5.67287	9.58791	9.25792	10.1851	7.86412	11.5036	10.2836	-0.963949	-5.70209	-5.77569	-1.58891	5.58461	1.4594	8.58943	5.82691	10.1412	9.33369	10.4018	8.77037	11.552	10.9675	-0.376066	-5.41132	-5.62112	-1.73186	5.76037	1.17603	8.73237	5.46327	9.9396	8.76366	9.89902	8.4681	11.8576	10.3457	-1.17379	-4.50294	-5.55678	-1.20136	5.45944	1.18518	7.60257	5.93976	9.91657	8.98008	9.76869	8.14026	11.2323	10.0191	-1.83069	-5.44331	-5.98822	-1.15692	5.87299	1.03889	7.75285	5.15722	10.4779	8.14341	9.98235	8.52833	12.0999	10.7585	-0.651001	-5.29063	-5.65244	-3.962093e+01	-9.398805e+04	-9.402767e+04
100	-1.2904	4.45697	4.06616	7.7228	7.54048	9.67487	10.6808	9.78765	13.6971	12.8611	10.3711	-2.93178	-2.37849	-1.89255	0.170177	0.419382	0.273977	0.15667	0.114517	0.299647	0.297483	0.0495876	0.215517	0.291248	0.0739275	0.115306	0.0545473	0.098147	0.0705719	0.0448239	0.0331823	-0.597647	4.76023	4.30044	7.63541	7.46133	10.0209	10.7413	9.88073	13.4248	12.5118	10.4295	-3.39906	-2.56635	-2.23391	-1.25456	4.46429	4.29839	7.76037	7.65519	9.81722	10.6976	9.59949	13.0267	12.9338	9.82999	-3.22698	-2.34639	-1.92698	-1.16957	5.32168	4.76544	7.94565	7.70336	9.32388	10.8815	9.82146	14.2255	12.1055	10.282	-3.00431	-2.42004	-1.70996	-0.000400046	5.24954	4.24689	7.73733	7.54421	10.1952	10.4919	9.53495	14.041	11.9244	10.3005	-2.75561	-2.1395	-2.02696	-1.49385	5.37177	4.95006	7.74229	7.48999	9.53731	10.5575	9.37568	13.5342	12.4417	10.4892	-2.81842	-2.30323	-1.69218	-1.10036	4.96225	4.4883	7.87856	7.37237	9.53261	11.3126	10.038	13.2778	12.8414	10.1728	-2.64645	-2.35828	-1.8724	-1.07265	4.9168	4.47139	7.92631	7.36291	9.26024	10.2339	9.41909	13.0924	12.4265	10.4154	-2.60029	-2.20058	-1.8576	-0.970343	5.38294	4.87928	8.00449	7.52995	9.7963	10.3367	9.31536	13.3902	12.9372	10.129	-2.94199	-2.31277	-2.17255	-2.847188e+01	3.050727e+01	2.035394e+00
200	-0.70421	5.05576	4.77553	7.82215	7.7684	9.91084	11.2451	9.86668	13.3821	12.1178	10.2666	-4.69725	-1.79445	-1.84271	0.156862	0.128252	0.158536	0.173558	0.164503	0.24235	0.229025	0.17352	0.172031	0.198387	0.132701	0.318409	0.133707	0.18712	0.0644639	0.0616997	0.0228384	-0.798796	4.51708	3.98251	8.07126	8.04748	10.3617	10.7702	9.93254	13.9921	11.7205	10.2201	-5.82986	-2.24611	-2.07036	-0.716902	4.91193	4.70707	7.98626	8.01052	9.64838	10.5274	9.47284	12.5246	11.8699	11.0766	-4.08112	-2.11023	-1.80527	-1.14749	5.15261	5.05558	7.76334	7.58874	9.48967	10.9126	10.0325	12.8199	12.5073	10.6317	-4.797	-2.33356	-1.25399	-0.00994913	5.33656	4.22076	8.06357	8.29905	10.4877	10.4543	10.1358	12.9097	11.9588	10.6808	-4.93631	-1.59557	-2.26558	-1.30883	5.65176	5.3494	7.63081	7.40013	9.87266	11.3291	9.04878	13.3661	12.6419	10.9409	-4.55171	-1.99022	-1.58201	-0.903879	5.27423	4.85575	7.60809	7.44764	9.7547	11.4477	9.91542	13.0706	11.9973	10.6826	-4.08294	-2.10582	-1.78874	-0.751038	5.2992	4.95692	7.80575	7.46454	10.1313	10.91	9.37441	13.7625	12.6376	10.2384	-4.00009	-1.79897	-1.58789	-0.838276	5.1327	5.0546	7.84198	7.72595	10.2532	10.5858	10.0774	13.4479	11.6926	10.2496	-5.27001	-2.11304	-1.90518	-4.680932e+01	5.747691e+01	1.066759e+01
300	-1.13902	4.84729	4.94759	7.98733	8.15809	10.1113	10.4659	10.2663	13.3417	11.765	10.6792	-5.92467	-1.80424	-1.88504	0.301991	0.241401	0.148914	0.115115	0.0437832	0.331963	0.0886191	0.141888	0.0508332	0.135597	0.100257	0.747371	0.142969	0.0612179	0.0419102	0.0496346	0.0128208	-0.769879	4.93871	4.39829	8.21135	7.89533	9.9191	10.8039	10.2875	13.4288	11.1752	10.8029	-5.5389	-2.30033	-1.99355	-1.08226	5.16962	4.80229	7.82863	7.96862	9.81413	10.3781	10.0133	13.3934	12.0762	10.4182	-5.9537	-2.067	-1.90288	-1.57975	5.0289	4.5609	8.30876	8.27362	9.43837	10.5417	9.89452	13.2081	12.028	10.8907	-5.5188	-1.87784	-1.51164	-0.036596	4.96233	3.92421	8.18238	8.37858	10.2922	10.3446	10.3781	12.9947	11.6116	10.2368	-5.78808	-1.45068	-2.17793	-1.43774	5.86891	5.43942	8.07638	8.00204	9.3521	10.1899	10.2325	13.2849	12.0829	10.6393	-5.94298	-1.88257	-1.7317	-1.67904	5.26911	4.97112	8.14188	7.87628	9.50643	10.2531	9.77131	13.3964	11.4468	10.944	-5.18016	-2.12183	-1.616	-1.51194	4.82825	4.5526	8.31391	8.21977	10.3923	10.412	9.91379	13.4043	11.4434	10.9712	-5.62877	-1.65999	-1.6804	-0.612539	4.83565	4.89828	7.9966	7.90544	10.2737	10.7357	9.47684	13.3964	12.2431	10.5389	-5.77355	-2.06852	-1.79173	-2.127221e+01	7.248497e+01	5.121276e+01
400	-1.103	5.39082	4.8867	8.28628	8.22906	10.1768	10.5031	9.68997	12.5405	11.4048	11.0024	-5.35957	-2.00618	-1.8615	0.166409	0.17408	0.126182	0.257731	0.0822822	0.39498	0.105551	0.320081	0.100292	0.103509	0.130299	0.209739	0.10389	0.197915	0.0456918	0.0337953	0.0145668	-0.545052	5.04352	4.53889	8.55082	8.46959	10.1345	10.8427	9.34289	12.5725	11.4414	10.9274	-5.40555	-2.16224	-2.14362	-1.16801	5.54195	5.06985	7.83354	8.03728	10.0341	10.621	8.9743	12.3566	11.689	11.1454	-5.65355	-2.03505	-1.93928	-1.23663	5.5816	4.99852	7.90814	7.89268	9.0329	10.3763	9.58224	13.0108	11.215	11.5824	-5.98413	-2.13911	-1.61006	-0.00494206	4.85007	4.13308	7.82843	8.05742	10.2519	10.0967	10.5406	12.1656	11.4698	10.7903	-5.17116	-1.78862	-1.96773	-0.992878	5.5954	5.42669	8.36222	8.11154	8.7882	10.758	9.83849	12.7444	11.0025	11.2815	-5.73225	-2.13459	-1.42711	-1.28977	5.4185	4.96148	8.28772	8.16735	9.39334	10.4659	9.76375	12.6457	11.4949	11.3287	-5.76956	-1.99914	-1.75026	-1.09751	4.8519	4.63492	8.6551	8.44694	9.97826	10.5333	9.64306	12.556	11.4711	10.8452	-5.5913	-1.66903	-1.56573	-0.499148	5.0562	4.94126	8.59892	8.6233	10.2929	10.8179	10.3761	12.6179	11.4429	11.5107	-5.43511	-1.95783	-2.02967	-2.785412e+01	8.269087e+01	5.483675e+01
500	-0.701696	5.32909	5.10028	8.45388	8.24842	10.0968	10.5179	10.3436	13.0183	12.6145	12.2981	-5.25433	-2.12076	-1.60198	0.752527	0.0849723	0.197812	0.176583	0.0694392	0.303515	0.147791	0.423329	0.522202	0.334417	0.718309	0.293313	0.117561	0.210115	0.040948	0.0576735	0.0181218	-0.395545	5.21555	4.78917	8.51395	8.36604	9.80063	10.4761	10.0153	14.0717	12.6594	12.4204	-5.20047	-2.23015	-2.07499	-1.958	5.46467	4.86025	8.25375	8.31114	9.73654	10.2931	10.2947	13.944	12.8425	11.879	-5.3934	-2.07723	-1.96502	-1.42143	5.79939	5.37034	8.33573	8.11398	9.60519	10.5909	10.168	12.2188	12.1788	11.6094	-5.38821	-2.53839	-1.27444	-0.0269815	5.13528	4.16825	8.05884	8.23947	10.0425	10.0757	9.36995	11.6805	12.9051	12.6748	-5.28647	-1.58809	-2.13276	-1.07185	5.46649	5.18293	8.63461	8.3879	9.16595	10.6617	9.44084	13.7467	11.9426	12.5439	-5.07092	-2.15304	-1.55655	-1.71243	5.65006	5.19505	8.50645	8.41376	9.6099	10.5314	9.55822	13.8604	12.889	12.9673	-5.11249	-1.9832	-1.75548	-1.76251	5.18048	4.8628	8.74688	8.48011	10.0627	10.426	9.98501	12.7601	12.2281	12.1287	-4.72759	-1.73364	-1.63272	-0.73275	4.80529	4.81595	8.77635	8.64188	10.0649	10.6587	10.2804	13.8597	12.1145	11.1054	-4.59613	-2.05417	-2.02138	-5.619037e+01	7.325458e+01	1.706420e+01
600	-0.786264	5.68089	5.21224	8.12256	8.4875	9.54229	10.3905	9.98326	13.1414	11.3504	12.0425	-5.81642	-1.96878	-1.80488	0.367104	0.41087	0.33757	0.125942	0.0753276	0.0465741	0.338868	0.11892	0.300642	0.203931	0.31351	0.16236	0.161504	0.176994	0.0687791	0.0271893	0.0172941	-0.837595	4.8172	4.32235	8.69426	8.74525	9.57019	10.1084	9.71451	12.1481	11.4581	11.3924	-5.54001	-2.2484	-2.18384	-0.826426	5.73945	5.34097	8.23193	8.44506	9.65496	10.3856	10.1815	13.8457	10.9654	11.8872	-5.65306	-2.0525	-1.94488	-1.23813	5.57568	5.05259	7.96596	8.08077	9.74903	10.8721	9.70796	13.5294	11.6713	11.6005	-5.68855	-1.85223	-1.48836	-0.107863	5.85281	4.68963	7.84245	8.19233	9.73361	9.39339	10.1788	12.4196	11.3576	11.9349	-5.06071	-1.55592	-2.23596	-1.4365	6.31286	5.65572	8.02042	8.12711	9.42717	10.3969	9.69101	12.4612	10.4865	12.1443	-5.76285	-1.86009	-1.89025	-1.61227	5.71356	5.20468	8.50003	8.24807	8.99619	10.0673	10.1732	13.8977	12.0212	11.0693	-5.90159	-1.95758	-1.67848	-0.622008	5.21389	4.75305	8.19391	8.05369	9.70102	10.4661	9.68092	12.7022	12.2916	11.4752	-5.8987	-1.70045	-1.67994	-0.697981	5.14996	4.99271	8.78887	8.50043	9.75049	10.3598	9.87699	13.3702	11.7421	11.5592	-5.65342	-2.18044	-1.86271	-5.126281e+01	7.442154e+01	2.315873e+01
700	-0.820341	5.44602	4.83535	8.32933	8.31769	9.18015	10.02	10.0767	12.4438	11.2518	10.4605	-5.19045	-1.90666	-2.07053	0.346682	0.287103	0.0941505	0.033113	0.0373005	0.399927	0.15462	0.245681	0.141447	0.164985	0.108831	0.17841	0.210709	0.145236	0.037254	0.0375463	0.0163393	-0.689861	5.04099	4.51184	8.47501	8.3633	9.76821	10.2549	9.47562	12.475	11.0691	10.2612	-4.98594	-2.22413	-2.15581	-0.976467	5.71923	5.27872	8.40649	8.4884	8.90683	9.94122	9.65089	12.6194	11.2948	10.4196	-5.29034	-2.08838	-1.8543	-1.52745	6.12923	5.32473	8.41206	8.32209	9.20178	10.1914	10.3059	12.9159	10.8033	10.274	-4.9976	-1.96808	-1.709	-0.00545353	5.90757	4.83618	8.13218	8.2492	9.47572	9.55579	10.0781	11.7962	10.7502	10.5518	-4.97966	-1.5894	-1.99329	-0.899811	5.35712	5.23248	8.54092	8.42999	8.41294	10.0812	9.55248	13.071	11.4517	10.9077	-5.12331	-2.13848	-1.63228	-1.40277	5.8272	5.14736	8.65652	8.57522	9.26593	10.056	9.76607	12.3034	10.2829	10.6921	-4.95429	-1.79174	-1.87533	-0.884968	5.32608	4.82991	8.51487	8.42496	9.72824	10.5693	9.46617	12.8681	10.8483	10.6015	-5.17765	-1.70085	-1.76786	-0.331055	5.12746	4.90457	8.22968	8.19579	9.29965	10.0741	9.23918	12.6384	10.6653	10.7965	-5.2106	-2.0607	-2.00965	-3.470744e+01	8.271484e+01	4.800740e+01
800	-0.616811	5.53794	5.06082	8.38128	8.529	9.65634	10.542	10.2295	12.9363	10.6415	9.83011	-5.13032	-2.05283	-1.93182	1.10801	0.139411	0.0773386	0.0590004	0.098561	0.151883	0.73609	0.23889	0.240027	0.0640138	0.263765	0.717126	0.041888	0.0657935	0.0499312	0.0340595	0.0210341	-0.502439	4.66755	4.40455	8.37405	8.29984	9.48285	10.1971	10.2097	12.5418	10.2462	10.1342	-4.87017	-2.41131	-2.07978	-0.961528	5.64965	4.90703	8.23657	8.41519	9.49708	10.3222	9.90439	12.7917	10.7498	10.0002	-3.58477	-2.04406	-2.26958	-1.84895	5.62044	4.96467	8.46839	8.34257	10.1541	10.9949	10.5098	13.2921	10.6638	9.76972	-5.93011	-2.2328	-1.56246	-0.00122008	5.40326	4.46727	8.5316	8.81227	9.67283	9.60404	9.99581	11.9263	10.9038	9.86446	-4.64278	-1.6888	-2.14291	-1.3699	5.92169	5.4541	8.45692	8.4032	9.00003	10.2094	9.51939	13.1596	10.7972	9.90892	-5.286	-1.91832	-1.70821	-1.28825	5.68585	5.14458	8.72966	8.5617	9.7656	10.6752	10.3684	13.1183	10.2799	9.23627	-4.01674	-1.89869	-1.78381	-0.900868	5.34448	4.82767	8.46712	8.33498	9.71204	10.4786	10.1578	12.9992	10.728	10.8581	-5.1496	-1.68415	-1.64182	-0.266956	5.02704	4.81141	8.53381	8.70463	9.76418	10.2032	9.57684	12.2738	10.9956	9.48224	-4.65615	-1.95224	-2.24364	-5.010677e+01	7.170875e+01	2.160198e+01
900	-0.961116	5.46878	4.68923	8.54057	8.46562	9.5976	10.4636	10.1006	13.4715	9.70909	10.8306	-5.58178	-2.05481	-1.93838	0.288922	0.0892152	0.145952	0.0925908	0.140785	0.398928	0.444239	1.52069	0.431329	0.101113	0.0878262	0.12385	0.05699	0.0788021	0.0510176	0.0331516	0.018636	-0.68639	5.48783	5.03833	8.89834	8.75956	9.97464	10.7385	10.2041	12.9061	9.42971	10.8969	-5.38589	-2.22725	-2.12216	-0.79318	5.54218	5.03189	8.41023	8.54456	9.62092	10.6509	10.1716	14.2428	9.69485	10.4922	-5.03446	-2.03025	-1.96927	-1.28248	5.38404	4.84914	8.68864	8.63825	10.3972	11.3332	9.74522	13.9774	9.6476	11.496	-5.7422	-2.31692	-1.53864	-0.0654677	5.4137	4.11789	8.16102	8.41776	9.43143	9.11096	10.1906	13.291	9.67983	11.1065	-5.13549	-1.50183	-2.48119	-1.32251	5.56437	5.15556	8.15683	8.13637	9.55759	10.6161	10.0027	13.603	9.33969	10.8015	-5.70669	-1.9689	-1.6863	-0.930271	5.49922	5.00347	8.74653	8.62496	9.62177	10.8652	9.30512	13.1104	9.30501	10.2007	-5.38822	-1.93833	-1.71506	-0.975078	5.27821	4.87821	8.35198	8.19002	9.6329	10.3395	9.20441	14.266	9.57093	10.6483	-5.12387	-1.74087	-1.57347	-0.798291	5.11993	4.80674	8.64231	8.76257	9.83411	10.1877	9.06404	13.5615	9.82698	10.8416	-5.73333	-2.00942	-2.15421	-3.945582e+01	7.638330e+01	3.692748e+01
