iter	M_lnTg(1)	M_lnSULT_Km_apap(1)	M_lnSULT_VmaxC(1)	M_lnUGT_Km(1)	M_lnUGT_VmaxC(1)	M_lnKm_AG(1)	M_lnVmax_AG(1)	M_lnKm_AS(1)	M_lnVmax_AS(1)	M_lnkGA_syn(1)	M_lnkPAPS_syn(1)	M_lnCLC_APAP(1)	M_lnCLC_AG(1)	M_lnCLC_AS(1)	M_lnQCC(1)	M_lnBP_APAP(1)	M_lnPF_APAP(1)	M_lnPL_APAP(1)	M_lnPM_APAP(1)	Var_lnTg(1)	Var_lnSULT_Km_apap(1)	Var_lnSULT_VmaxC(1)	Var_lnUGT_Km(1)	Var_lnUGT_VmaxC(1)	Var_lnKm_AG(1)	Var_lnVmax_AG(1)	Var_lnKm_AS(1)	Var_lnVmax_AS(1)	Var_lnkGA_syn(1)	Var_lnkPAPS_syn(1)	Var_lnCLC_APAP(1)	Var_lnCLC_AG(1)	Var_lnCLC_AS(1)	Var_lnQCC(1)	Var_lnBP_APAP(1)	Var_lnPF_APAP(1)	Var_lnPL_APAP(1)	Var_lnPM_APAP(1)	Verr_lnCPL_APAP_mcgL_samp(1)	Verr_lnCPL_AG_mcgL_samp(1)	Verr_lnCPL_AS_mcgL_samp(1)	lnTg(1.1)	lnSULT_Km_apap(1.1)	lnSULT_VmaxC(1.1)	lnUGT_Km(1.1)	lnUGT_VmaxC(1.1)	lnKm_AG(1.1)	lnVmax_AG(1.1)	lnKm_AS(1.1)	lnVmax_AS(1.1)	lnkGA_syn(1.1)	lnkPAPS_syn(1.1)	lnCLC_APAP(1.1)	lnCLC_AG(1.1)	lnCLC_AS(1.1)	lnQCC(1.1)	lnBP_APAP(1.1)	lnPF_APAP(1.1)	lnPL_APAP(1.1)	lnPM_APAP(1.1)	lnTg(1.2)	lnSULT_Km_apap(1.2)	lnSULT_VmaxC(1.2)	lnUGT_Km(1.2)	lnUGT_VmaxC(1.2)	lnKm_AG(1.2)	lnVmax_AG(1.2)	lnKm_AS(1.2)	lnVmax_AS(1.2)	lnkGA_syn(1.2)	lnkPAPS_syn(1.2)	lnCLC_APAP(1.2)	lnCLC_AG(1.2)	lnCLC_AS(1.2)	lnQCC(1.2)	lnBP_APAP(1.2)	lnPF_APAP(1.2)	lnPL_APAP(1.2)	lnPM_APAP(1.2)	lnTg(1.3)	lnSULT_Km_apap(1.3)	lnSULT_VmaxC(1.3)	lnUGT_Km(1.3)	lnUGT_VmaxC(1.3)	lnKm_AG(1.3)	lnVmax_AG(1.3)	lnKm_AS(1.3)	lnVmax_AS(1.3)	lnkGA_syn(1.3)	lnkPAPS_syn(1.3)	lnCLC_APAP(1.3)	lnCLC_AG(1.3)	lnCLC_AS(1.3)	lnQCC(1.3)	lnBP_APAP(1.3)	lnPF_APAP(1.3)	lnPL_APAP(1.3)	lnPM_APAP(1.3)	lnTg(1.4)	lnSULT_Km_apap(1.4)	lnSULT_VmaxC(1.4)	lnUGT_Km(1.4)	lnUGT_VmaxC(1.4)	lnKm_AG(1.4)	lnVmax_AG(1.4)	lnKm_AS(1.4)	lnVmax_AS(1.4)	lnkGA_syn(1.4)	lnkPAPS_syn(1.4)	lnCLC_APAP(1.4)	lnCLC_AG(1.4)	lnCLC_AS(1.4)	lnQCC(1.4)	lnBP_APAP(1.4)	lnPF_APAP(1.4)	lnPL_APAP(1.4)	lnPM_APAP(1.4)	lnTg(1.5)	lnSULT_Km_apap(1.5)	lnSULT_VmaxC(1.5)	lnUGT_Km(1.5)	lnUGT_VmaxC(1.5)	lnKm_AG(1.5)	lnVmax_AG(1.5)	lnKm_AS(1.5)	lnVmax_AS(1.5)	lnkGA_syn(1.5)	lnkPAPS_syn(1.5)	lnCLC_APAP(1.5)	lnCLC_AG(1.5)	lnCLC_AS(1.5)	lnQCC(1.5)	lnBP_APAP(1.5)	lnPF_APAP(1.5)	lnPL_APAP(1.5)	lnPM_APAP(1.5)	lnTg(1.6)	lnSULT_Km_apap(1.6)	lnSULT_VmaxC(1.6)	lnUGT_Km(1.6)	lnUGT_VmaxC(1.6)	lnKm_AG(1.6)	lnVmax_AG(1.6)	lnKm_AS(1.6)	lnVmax_AS(1.6)	lnkGA_syn(1.6)	lnkPAPS_syn(1.6)	lnCLC_APAP(1.6)	lnCLC_AG(1.6)	lnCLC_AS(1.6)	lnQCC(1.6)	lnBP_APAP(1.6)	lnPF_APAP(1.6)	lnPL_APAP(1.6)	lnPM_APAP(1.6)	lnTg(1.7)	lnSULT_Km_apap(1.7)	lnSULT_VmaxC(1.7)	lnUGT_Km(1.7)	lnUGT_VmaxC(1.7)	lnKm_AG(1.7)	lnVmax_AG(1.7)	lnKm_AS(1.7)	lnVmax_AS(1.7)	lnkGA_syn(1.7)	lnkPAPS_syn(1.7)	lnCLC_APAP(1.7)	lnCLC_AG(1.7)	lnCLC_AS(1.7)	lnQCC(1.7)	lnBP_APAP(1.7)	lnPF_APAP(1.7)	lnPL_APAP(1.7)	lnPM_APAP(1.7)	lnTg(1.8)	lnSULT_Km_apap(1.8)	lnSULT_VmaxC(1.8)	lnUGT_Km(1.8)	lnUGT_VmaxC(1.8)	lnKm_AG(1.8)	lnVmax_AG(1.8)	lnKm_AS(1.8)	lnVmax_AS(1.8)	lnkGA_syn(1.8)	lnkPAPS_syn(1.8)	lnCLC_APAP(1.8)	lnCLC_AG(1.8)	lnCLC_AS(1.8)	lnQCC(1.8)	lnBP_APAP(1.8)	lnPF_APAP(1.8)	lnPL_APAP(1.8)	lnPM_APAP(1.8)	LnPrior	LnData	LnPosterior
0	-1.75657	5.46799	8.2884	8.41176	5.24224	9.637	14.4577	10.3092	12.9545	8.91768	2.43507	-4.78522	-1.14351	-3.02796	3.24663	-2.10227	-0.936175	-0.0213822	-0.541873	0.602724	0.0708361	1.65612	0.106289	0.360901	0.510408	0.053601	0.214244	0.0957358	0.0987239	0.0771308	0.127939	0.0966811	0.151027	0.214829	0.126011	0.204423	0.166607	0.129584	0.0489743	0.0669905	0.0330543	-1.7004	5.73963	9.29252	8.79967	5.12371	9.11355	14.7362	9.72001	12.7956	9.21101	2.63291	-4.61771	-0.626745	-3.16494	3.75449	-2.01724	-0.649022	-0.159611	-0.260988	-2.47486	5.6325	10.2915	8.40572	4.89207	9.87166	14.5171	10.1027	12.7241	8.75641	3.02251	-4.43112	-1.27008	-2.71398	3.31833	-2.1991	-1.46493	-0.568314	0.0991812	-0.428047	5.55461	6.21788	8.39666	5.60906	9.10965	14.5551	9.15488	13.2594	9.04249	2.59203	-4.96414	-1.38245	-3.02387	3.44929	-2.24012	-1.68753	0.311944	-0.327201	-1.52082	5.32899	8.37723	8.11976	5.78931	10.0643	14.1424	10.5352	13.2882	9.43786	2.02701	-4.9711	-1.10811	-2.66083	3.36841	-2.25589	-1.62826	0.344632	-0.346312	-2.25841	5.57599	9.70735	8.67252	4.7017	10.447	14.7546	9.88937	13.0447	8.86388	2.50697	-4.43897	-1.00583	-2.72723	3.23427	-2.12996	-0.836323	-0.80047	-0.211341	-2.34787	5.32906	7.85712	8.01057	5.02304	9.00641	14.563	9.91833	13.2338	8.76988	2.0673	-4.89807	-1.33798	-2.57725	2.44295	-1.99007	-0.312747	-0.40683	-0.664254	-1.55168	5.26715	8.79966	8.4269	4.9777	10.0361	14.6725	10.0795	12.3411	8.77087	2.12936	-4.57451	-0.794991	-3.1849	2.39574	-1.83986	-0.462614	0.0543129	-0.64639	-2.33192	5.22295	6.75751	8.56352	5.90876	10.1841	14.5551	9.77057	12.6542	8.98497	2.34723	-5.25579	-1.04182	-3.64275	3.16742	-1.69549	-1.00031	-0.203631	-0.55769	-5.738294e+01	-1.022866e+04	-1.028604e+04
160	-0.117195	7.20013	6.62514	7.94188	6.67365	10.0904	14.0089	10.2353	14.3217	8.82308	5.83049	-1.93918	-3.05169	-1.25232	2.85109	-0.574225	0.0131911	0.448391	0.550534	0.0655035	0.257534	0.24158	0.206021	0.149551	0.100191	0.20668	0.135097	0.341352	0.115274	0.265313	0.113058	0.16404	0.161687	0.14183	0.246808	0.0608742	0.221418	0.0727145	0.0235751	0.173438	0.0143536	-0.117479	7.55875	7.24404	8.38843	6.79821	10.0051	13.6623	10.0051	14.1883	8.52146	4.64222	-1.98419	-3.14505	-1.3546	2.99337	-0.782206	-0.137134	0.46122	0.606155	-0.0225735	6.73418	7.08798	7.69365	7.05084	10.2058	13.6763	10.4248	14.489	8.7951	6.26449	-2.36035	-2.48864	-1.12506	2.57861	-0.550203	-0.42582	0.165253	0.516888	-0.260373	7.04213	6.1773	8.0397	6.99358	9.82215	14.4051	9.64562	13.8972	8.71441	6.26331	-1.92705	-3.60991	-1.0573	2.47087	-0.747553	-0.0108168	0.117034	0.428749	-0.0407187	7.29805	6.10008	8.0575	6.51512	10.1115	14.2854	10.2076	14.2694	9.17751	6.28191	-1.91742	-3.6035	-1.82631	3.73524	-0.105025	0.129617	0.240759	0.263935	-0.238192	7.45874	6.74079	8.18223	6.53479	10.4735	13.6242	10.3616	14.5646	9.60953	6.62926	-1.99625	-2.67474	-1.21943	2.17424	-0.592252	-0.0844105	0.56137	0.486079	-0.238529	7.91993	7.0596	8.03978	6.63516	9.81622	13.4182	10.3461	14.0733	9.26508	6.25577	-1.45593	-2.85536	-1.68498	2.18146	-0.691832	0.096359	0.0354786	0.240338	-0.479288	6.23006	6.48978	7.95904	6.76222	10.1274	14.4739	10.0421	14.7289	8.51542	6.27831	-1.68554	-2.7921	-1.18947	2.5061	-0.615628	0.0375211	-0.154628	0.561516	-0.23837	6.7323	5.9461	7.97887	6.43504	9.87475	14.0611	10.2688	14.4393	9.30819	6.58305	-1.72769	-3.03354	-1.91985	2.78598	-0.497444	-0.41167	0.367306	0.58343	-3.537250e+01	6.256556e+01	2.719307e+01
320	-0.482181	7.60963	6.87135	7.63165	6.99983	10.4033	11.4709	10.3483	13.8478	8.88584	6.62568	-2.65765	-1.95341	-1.32143	2.91191	-0.643995	-0.149136	0.404211	0.325373	0.0814566	0.147936	0.137957	0.115164	0.0858736	0.0588984	0.0683901	0.150948	0.314571	0.0868686	0.071392	0.128563	0.133743	0.193794	1.25769	0.119985	0.03277	0.0675421	0.0436385	0.0127365	0.0257594	0.0144076	-0.101434	7.82758	6.56787	7.68085	6.8686	10.3396	11.1002	10.1695	13.815	8.47144	6.96575	-2.07452	-1.80211	-1.78648	3.31137	-0.863789	-0.353044	0.614899	0.6127	-0.252849	6.85173	6.31103	7.74131	7.05189	10.5095	11.42	10.1981	13.198	8.72509	6.44815	-2.47756	-2.23634	-1.54461	2.0428	-0.35941	-0.356881	0.247678	0.17557	-0.512424	7.32156	6.67452	8.08512	6.89568	10.2168	11.2496	10.3758	12.8936	8.78196	6.30016	-3.04519	-1.99486	-0.973569	2.16522	-0.656975	0.0279177	0.512338	0.508646	-0.00863613	7.73702	6.16471	7.61174	6.80698	10.3618	11.4169	9.60885	12.7055	9.05608	6.13672	-3.13755	-1.92073	-1.9455	3.68812	-0.117316	-0.192134	0.524273	0.306416	-0.194188	7.14305	6.77592	7.66443	6.72129	10.2147	11.7051	10.3905	14.6955	8.79071	6.85333	-2.50231	-1.88514	-1.05952	2.23085	-0.568242	-0.138583	0.441288	0.156082	-0.732846	7.73272	7.00828	7.97346	6.8795	10.5038	10.8961	10.4791	14.2928	8.59965	6.49011	-2.46027	-2.01277	-1.42172	2.03594	-0.485896	-0.285567	0.356158	0.103734	-0.343289	7.20162	6.82224	7.94511	6.43036	10.4374	11.2486	10.2719	14.2687	9.0554	6.24049	-1.81881	-2.16933	-1.15919	2.2503	-0.632554	-0.20431	0.553898	0.591187	-0.191636	7.76798	7.10193	7.73344	6.75803	10.4635	11.4923	9.35031	13.7454	8.68408	6.5723	-2.06541	-2.39865	-1.84261	2.6428	-0.523351	-0.129731	0.45478	0.120397	-1.899911e+01	1.377926e+02	1.187934e+02
480	-0.0638498	7.37761	6.76561	7.84791	7.08964	10.0972	10.9785	9.66517	12.3262	9.54664	6.85059	-3.21937	-2.21978	-1.27366	1.89396	-0.139349	-0.362757	0.357787	0.308119	0.157539	0.0904484	0.326382	0.0340376	0.15674	0.561488	0.204068	0.17131	0.0974093	0.0586193	0.139623	0.319765	0.0932504	0.172751	1.25124	0.200876	0.13162	0.0639107	0.0707544	0.0142596	0.0311081	0.0120882	-0.0606867	7.20127	6.53033	7.8079	7.26373	9.83339	10.5502	10.193	12.2311	9.39458	6.26914	-4.01034	-1.65186	-1.37746	3.6444	-0.737983	-0.104791	0.358399	0.253763	-0.254458	6.93919	6.94881	7.9304	7.22072	10.2803	11.1395	9.40901	12.6861	9.88279	6.43459	-2.90956	-2.23267	-1.19508	2.3073	-0.491356	0.034678	0.383548	0.251414	-0.353598	7.39582	6.64168	7.92674	6.8854	9.98151	11.2728	10.0532	12.0971	9.51901	6.50584	-3.5759	-2.33135	-1.1728	1.78752	-0.604392	0.0919382	0.157529	0.554486	-0.0062973	7.18039	6.21836	7.68863	7.32892	10.1694	11.1416	9.98077	12.7768	9.50142	6.48346	-3.97145	-1.96033	-1.84926	3.59465	-0.0134497	-0.547535	0.0430194	0.31174	-0.495273	7.45784	6.87426	7.84207	7.21724	9.98215	11.164	9.21417	12.4875	9.62421	6.92437	-3.33956	-1.8877	-1.32921	2.31513	-0.433567	-0.652659	0.41269	0.597021	-0.709228	7.18465	6.2604	8.21125	7.21642	10.2653	11.0755	9.55328	12.2827	9.2177	6.83831	-2.99341	-1.9977	-1.60883	2.20947	-0.349176	-0.164385	0.39895	-0.0484091	-0.470539	7.46561	7.15431	7.82243	6.51112	10.2932	10.6104	9.53309	12.4174	9.56601	6.42573	-2.33923	-2.02581	-1.19646	1.97825	-0.531635	-0.33493	0.406784	0.429854	-0.504879	7.52982	7.05527	8.05381	7.34167	10.4617	10.7417	9.06126	12.3277	10.3458	6.91125	-3.37949	-2.08044	-1.60007	2.81023	-0.344535	-0.516306	0.376567	0.0802901	-3.448814e+01	1.438083e+02	1.093201e+02
640	-0.384144	7.23087	6.47472	7.7565	7.39404	9.54613	10.1226	10.0218	12.4588	9.49404	6.81675	-4.60028	-1.90035	-1.37882	2.79328	-0.342868	-1.04729	0.258413	0.603232	0.150093	0.193084	0.383406	0.122772	0.155126	0.106171	0.122183	0.185339	0.121105	0.348337	0.0558002	0.278561	0.0519641	0.0774901	0.210357	0.0715846	0.123399	0.0725502	0.0589786	0.0187303	0.0204328	0.0124787	-0.210503	7.04159	5.70328	7.81664	7.28433	9.71916	9.77448	10.1804	12.1613	8.52287	6.68354	-4.92678	-1.62114	-1.90706	2.89259	-0.656941	-1.47705	0.562138	0.370549	-0.471848	6.80992	7.16584	7.762	7.22121	9.77743	10.2045	10.1054	12.1778	9.0686	6.54869	-4.82315	-1.98102	-1.11943	2.14022	-0.455982	-0.78187	0.293694	0.428596	-0.313484	7.05181	5.76612	7.89943	7.30053	9.46124	10.1663	10.3062	12.7179	9.20208	6.88009	-3.64088	-1.76541	-1.40389	1.93544	-0.538661	-1.36811	0.265534	0.24087	-0.00472654	7.55164	6.23446	8.06134	7.43232	9.56755	10.5377	9.22021	11.8922	10.7748	6.67288	-4.59992	-1.87964	-1.82641	3.43481	-0.0340646	-0.953947	0.377485	0.289704	-0.518353	6.88983	6.9691	7.77966	6.89605	8.89907	10.3846	9.77147	13.2858	10.1384	6.87758	-4.97906	-1.89741	-0.87116	2.6404	-0.493022	-1.00949	0.509125	0.54654	-0.714875	7.46031	7.13184	7.78595	6.93686	8.93237	9.80299	9.93122	12.6714	9.04453	6.71359	-4.84237	-1.71513	-1.12324	2.67975	-0.435495	-0.695508	0.59037	0.468297	-0.526334	7.41651	7.04795	7.89773	6.85324	9.37051	9.4712	10.303	12.6732	9.66166	6.59567	-3.22451	-1.79259	-1.13778	2.16596	-0.445598	-0.554257	0.546516	0.394559	-0.760753	6.86452	6.52294	8.36691	7.7322	9.58238	9.72707	9.90604	12.8121	9.9626	6.90416	-4.44985	-1.84772	-1.5708	2.81048	-0.391228	-1.31141	0.546676	0.542057	-3.222453e+01	1.623856e+02	1.301610e+02
800	-0.613808	7.2661	6.91771	7.63462	7.21121	9.64568	10.0472	9.78464	12.2559	9.86352	6.84779	-4.83054	-1.98607	-1.3273	2.94643	-0.137207	-0.230742	0.5586	0.478449	0.259541	0.123032	0.113708	0.201251	0.106096	0.146222	0.103413	0.0478301	0.0941936	0.0979469	0.0497353	0.319326	0.0992866	0.062089	0.115373	0.206141	0.10098	0.14231	0.124604	0.0170995	0.0227575	0.0112482	-0.324788	7.4726	6.347	7.71073	7.37703	9.38582	9.80027	9.49745	12.4341	9.66901	6.51599	-5.25851	-1.55775	-1.91144	3.38181	-0.609789	-0.324395	0.364965	-0.0639288	-0.76446	7.57375	7.10053	8.07646	7.45611	9.77731	10.3459	9.91462	12.4464	9.65458	6.58868	-4.55876	-1.90698	-1.41374	2.64573	-0.382009	-0.0649635	0.512464	0.205501	-0.792145	7.43538	5.96571	7.92038	7.41101	9.37696	9.67627	10.0031	12.7243	9.45687	6.71948	-4.28983	-1.39958	-1.41438	2.63926	-0.671375	-0.302503	0.593672	0.600146	-0.0483912	7.59988	6.9378	7.73459	7.86398	9.18432	9.83202	9.95877	12.1706	9.73097	6.65394	-4.36382	-1.91136	-1.90346	3.64227	-0.0824762	-0.425637	-0.201095	0.468446	-0.714857	6.9637	6.73391	7.69106	6.80858	8.86318	9.98539	9.53564	12.1896	10.0512	7.03688	-4.89731	-1.89637	-0.963976	2.49658	-0.500879	-0.4557	0.583113	0.345494	-0.931626	7.89912	7.2832	7.84941	6.77832	8.98858	10.2049	9.91263	12.3392	9.97368	6.82114	-4.41177	-1.88617	-1.17291	2.78276	-0.435489	-0.552264	0.615981	0.315011	-1.08168	7.21011	6.98415	7.96768	7.14074	9.33824	9.8131	10.065	12.6782	9.51183	6.81559	-5.00335	-1.80438	-1.09872	2.89499	-0.310346	0.00516851	0.369418	0.259703	-0.881621	7.38888	7.07868	7.82679	7.33548	9.30013	9.96335	9.46816	12.5783	10.0042	6.98559	-4.98582	-1.91748	-1.63253	3.35468	-0.289829	-0.639337	0.266856	0.322933	-1.657910e+01	1.581207e+02	1.415416e+02
960	-0.459749	7.88554	6.92227	7.78336	7.44839	9.29898	9.9051	10.1424	13.1284	8.66663	6.69352	-4.11913	-1.65116	-1.65899	3.21534	-0.306402	-0.665933	0.274176	0.583709	0.116118	0.212735	0.0776172	0.0822376	0.0567551	0.0968288	0.0805872	0.09043	0.0869908	0.13921	0.0790713	0.33168	0.0914988	0.115532	0.641585	0.174622	0.102807	0.107119	0.187699	0.0147791	0.0191104	0.0131556	-0.203042	7.52412	6.4403	7.88474	7.51275	9.9739	10.2289	10.2491	12.8897	8.9937	6.32422	-3.8187	-1.31812	-1.70699	3.407	-0.82598	-0.62618	0.477195	0.61695	-0.465348	7.27777	7.0546	7.92333	7.4357	8.74726	9.40784	10.0107	12.8824	8.47941	6.47274	-5.02053	-1.94016	-1.32855	2.44633	-0.412349	-0.163877	0.434045	0.249005	-0.711864	7.78342	6.85305	7.68094	7.54061	9.03761	9.7421	10.1513	13.5093	8.84869	6.54423	-5.32185	-1.24277	-1.197	2.87907	-0.668606	0.0496502	0.267276	0.399928	-0.0733463	7.97598	7.30142	8.14163	7.87725	8.82558	10.2065	9.94298	12.9237	8.90374	6.80666	-3.92408	-2.01605	-1.73024	3.74736	-0.0100795	-0.769305	-0.148503	0.313338	-0.857347	7.16884	7.00832	8.03112	7.57737	8.9265	10.1044	10.1344	13.247	9.19474	6.81986	-3.77572	-1.78691	-1.14282	3.2038	-0.52909	-0.504587	0.293075	0.584251	-0.688606	7.65097	6.9633	8.1387	7.35461	9.53346	9.7687	10.389	12.5472	8.79781	6.76944	-4.73899	-1.65764	-1.27223	2.27894	-0.462129	-1.10678	0.586533	0.361392	-0.7078	7.59781	7.16447	7.93891	6.95421	9.48036	9.56686	9.64714	13.4517	9.01388	6.7133	-4.59515	-1.79267	-1.23631	2.1241	-0.304145	-0.0780117	0.560068	-0.123516	-0.47568	7.06991	6.90087	7.64062	7.6414	9.73535	10.024	10.2755	13.7595	9.07317	6.84269	-4.13785	-1.83255	-1.67708	2.81121	-0.403163	-0.371696	0.0412174	0.373762	-2.649582e+01	1.616118e+02	1.351159e+02
1120	-0.585541	7.72691	6.94464	7.6572	7.55109	10.0975	10.646	10.2509	13.717	10.1268	6.79941	-5.1702	-1.69109	-1.52375	2.84372	-0.360008	-0.298749	0.311085	0.324575	0.132704	0.0716905	0.0924621	0.125044	0.0554884	0.351143	0.0676133	0.161577	0.0608656	0.0761614	0.131715	0.309525	0.0893867	0.149766	0.134001	0.155681	0.142649	0.132715	0.0700265	0.0118237	0.0330667	0.012087	-0.17759	7.69592	6.75337	7.7486	7.36469	10.294	10.6044	10.21	13.7074	10.0892	6.3505	-5.83977	-1.62429	-1.65206	3.37564	-0.769865	-0.73624	0.422193	0.40752	-0.489621	7.92171	6.97087	7.6147	7.27694	10.3776	10.4953	9.65916	13.6502	9.69673	6.66361	-4.95372	-1.67648	-1.63044	2.75072	-0.439626	-0.900968	0.500518	0.425606	-0.77479	7.57937	6.72062	7.71575	7.50248	9.95372	10.5121	9.93265	13.4916	10.6119	6.40903	-4.55141	-1.81272	-1.41751	2.45608	-0.514427	-0.645863	-0.0217819	0.267465	-0.019327	7.90849	6.89867	7.9082	7.79308	9.90397	10.8322	10.3745	13.5234	9.90045	6.64496	-5.79085	-1.92196	-2.03445	3.77475	-0.0189413	-0.202139	-0.020321	0.152383	-1.11121	7.70921	7.28125	7.72105	7.54112	9.71587	10.6836	10.5041	13.8748	9.93787	7.19165	-5.20454	-1.74063	-1.38167	3.22227	-0.395711	-0.776751	0.0142607	0.468478	-0.552547	7.88495	7.04363	8.04948	7.522	9.44951	10.6541	10.1492	13.8686	10.0971	6.90046	-4.97622	-1.52126	-1.25322	3.30062	-0.555478	-0.165658	0.421204	0.311027	-0.473434	7.44329	7.26498	8.25882	7.38274	10.0443	10.8863	10.5161	13.9722	10.5748	6.86408	-5.97224	-1.91371	-1.07425	2.36664	-0.265767	-0.445507	0.252794	0.00328837	-0.494008	7.62026	7.16032	7.80069	7.43236	10.0943	10.2676	9.80853	13.8468	9.69311	6.71678	-5.78943	-1.50178	-1.57859	2.79144	-0.498284	-0.468838	0.518185	0.545754	2.415425e-01	1.442678e+02	1.445093e+02
1280	-0.62977	7.93424	6.90343	7.8576	7.48529	9.60678	10.4083	9.95599	13.1971	11.1451	6.97588	-5.35845	-1.68496	-1.44894	3.39302	-0.282188	-0.792484	0.349517	0.504418	0.909182	0.108431	0.09421	0.121752	0.119135	0.0903638	0.199632	0.125253	0.234963	0.0608248	0.114453	0.162398	0.0735755	0.158162	0.464042	0.136358	0.0931635	0.115465	0.136302	0.0149899	0.0261088	0.0107895	-0.3349	7.74733	6.65738	7.65984	7.09799	9.63553	10.1729	9.89289	12.873	11.488	6.55261	-5.19763	-1.58879	-1.68179	3.6949	-0.67855	-1.29796	0.50595	0.49033	-0.727702	7.68257	6.90982	7.80511	7.44985	10.1647	10.5958	9.64085	13.2412	10.9297	6.67154	-5.6211	-1.71553	-1.52612	2.96894	-0.459446	-1.15357	0.501116	0.581089	-0.924615	7.89038	6.80214	8.02743	7.50345	9.76693	10.8483	9.76855	12.8876	10.9297	6.93446	-5.2564	-1.61627	-1.18289	3.03569	-0.563946	-0.82298	0.377136	0.561556	-0.00762471	7.86086	6.97609	7.81101	7.72763	9.48172	10.6079	10.1997	12.9228	10.7964	7.18401	-5.93458	-1.91065	-1.79731	3.78154	-0.0394069	-0.538912	-0.18572	0.141344	-0.665059	7.61094	7.43851	8.14816	7.53535	9.60716	10.7591	9.1884	13.0834	10.8446	6.93335	-5.72055	-1.83676	-1.05642	2.83383	-0.491889	-1.44049	0.424553	0.586272	-1.11272	7.86383	6.78273	8.34807	7.61041	9.71608	10.2969	9.89573	12.9482	10.9725	7.06958	-4.71693	-1.64054	-1.42007	2.96098	-0.389564	-0.91325	0.494126	0.281424	-1.63678	7.76228	7.10226	8.06555	7.45043	9.1068	9.3808	10.0448	13.0986	11.4371	6.90173	-5.49087	-1.5789	-1.26156	3.54793	-0.365742	-0.674705	0.388631	0.615437	-0.474043	7.18268	6.85293	8.03896	7.63197	9.66668	10.0292	9.88354	13.0711	10.9623	6.8973	-5.00072	-1.8405	-1.73591	2.90699	-0.316476	-1.07172	0.307625	0.132782	-1.307410e+01	1.710867e+02	1.580126e+02
1440	-0.661759	7.65645	6.59138	7.79641	7.45256	10.1605	10.7842	9.72929	12.4859	11.4413	7.17729	-5.51989	-1.92571	-1.56212	3.29588	-0.36254	-1.07099	0.278477	0.497136	0.138352	0.134002	0.11142	0.174831	0.252814	0.14548	0.0540908	0.0904108	0.0789043	0.37262	0.197906	0.208382	0.0394339	0.0674195	0.524867	0.0709614	0.157027	0.153469	0.142109	0.018229	0.0232211	0.0137898	-0.29489	7.92286	6.66014	7.60893	7.08563	10.501	10.7474	9.65761	12.0597	12.5705	7.3514	-5.76193	-1.71748	-1.71204	3.21391	-0.686438	-0.232156	0.454072	-0.0186053	-0.672062	7.25529	6.56193	7.72585	7.7431	10.4821	10.8552	10.0784	12.6041	10.8418	7.55873	-5.22536	-1.7418	-1.74763	2.92876	-0.404276	-0.985693	0.0875606	0.579134	-0.893985	7.38234	6.7437	8.0372	7.51355	9.93052	10.7785	9.73808	12.4275	12.2921	6.78428	-5.38695	-2.06356	-1.31804	2.14266	-0.255435	-0.984892	-0.029701	0.00412648	-0.0437274	7.9448	6.50332	8.00195	7.48067	9.88129	10.6603	9.79883	12.7858	11.1434	7.09624	-4.79679	-1.84405	-1.95669	3.70006	-0.0826465	-0.832468	0.291783	0.408801	-0.653442	7.59219	7.05116	7.84981	7.38485	9.99377	10.895	9.13932	12.3377	11.6978	7.03405	-4.45248	-1.75489	-1.25302	2.76984	-0.460851	-0.514289	0.392423	0.360598	-1.03539	7.586	6.61632	8.23909	7.57098	10.0046	11.2368	10.1561	12.6525	11.6138	7.45635	-5.10957	-1.71762	-1.39787	3.29391	-0.372599	-0.834832	0.405721	0.422984	-0.743768	7.3422	6.96476	8.406	7.31956	10.2803	10.7225	9.63485	12.6797	11.2533	6.84245	-5.15206	-1.74586	-0.937351	2.65204	-0.406133	-0.71122	0.547039	0.479181	-0.52388	7.37172	7.01671	7.79069	7.53509	10.4816	10.8864	10.1686	12.7593	10.8201	6.958	-5.14124	-1.84361	-1.65065	3.0117	-0.321215	-1.31748	0.103991	0.507098	-2.122905e+01	1.551552e+02	1.339262e+02
